epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,2030.05,1.51402,1.36311,1.68362,0.00593,1.39136,0.5732,0.5098,0.45703,0.27251,0.55481,0.50625,0.46279,0.2147,1.4566,1.29968,1.76452,0.00831,0,0.0014112,0.0014112,0.0014112
64,2061.43,1.55511,1.44485,1.67711,0.00597,1.49455,0.56956,0.44691,0.48394,0.27534,0.55827,0.43623,0.47575,0.21519,1.47791,1.31134,2.17166,0.00818,0,0.00140707,0.00140707,0.00140707
65,2092.74,1.52189,1.38433,1.68217,0.00605,1.47027,0.54152,0.41677,0.46642,0.26441,0.55551,0.42264,0.48508,0.22396,1.48566,1.29091,1.81431,0.0083,0,0.00140295,0.00140295,0.00140295
66,2123.98,1.52094,1.38484,1.69852,0.00583,1.47423,0.41702,0.5241,0.39792,0.23135,0.42815,0.53739,0.40507,0.18149,1.44296,1.31097,1.9898,0.008,0,0.00139882,0.00139882,0.00139882
67,2155.42,1.54128,1.39007,1.65295,0.00597,1.43813,0.5695,0.48992,0.53347,0.31682,0.57252,0.4917,0.53639,0.25536,1.44565,1.23896,1.79689,0.00803,0,0.0013947,0.0013947,0.0013947
68,2186.72,1.51076,1.38083,1.64118,0.00584,1.40729,0.54875,0.48489,0.51187,0.29951,0.54011,0.48489,0.5193,0.26521,1.48702,1.25856,1.90348,0.0082,0,0.00139057,0.00139057,0.00139057
69,2217.98,1.51219,1.33925,1.64459,0.00586,1.41954,0.48987,0.60426,0.54638,0.31921,0.48724,0.60325,0.54592,0.25626,1.41542,1.31833,2.16221,0.00762,0,0.00138644,0.00138644,0.00138644
70,2249.38,1.51096,1.36615,1.65947,0.0059,1.39873,0.47964,0.56594,0.52192,0.29275,0.50517,0.57519,0.52496,0.22669,1.45127,1.28841,1.8804,0.00801,0,0.00138232,0.00138232,0.00138232
71,2280.61,1.51407,1.36818,1.6637,0.00583,1.3751,0.53747,0.61137,0.55188,0.30439,0.5459,0.62511,0.56874,0.25503,1.47614,1.31317,1.64603,0.00818,0,0.00137819,0.00137819,0.00137819
72,2311.96,1.5595,1.44248,1.65355,0.00602,1.3196,0.56661,0.54682,0.55521,0.31184,0.5645,0.55148,0.54958,0.25426,1.52644,1.37245,1.71074,0.00823,0,0.00137407,0.00137407,0.00137407
73,2343.37,1.52501,1.37642,1.61227,0.00591,1.37839,0.5934,0.54364,0.58207,0.33748,0.60564,0.55562,0.59696,0.28524,1.45627,1.21724,1.62179,0.00803,0,0.00136994,0.00136994,0.00136994
74,2374.61,1.51528,1.38417,1.60454,0.00592,1.3646,0.49877,0.61746,0.53991,0.31912,0.53133,0.60175,0.54642,0.2421,1.48351,1.25302,1.78204,0.00808,0,0.00136581,0.00136581,0.00136581
75,2406.04,1.52082,1.36963,1.62993,0.00594,1.39229,0.60221,0.52854,0.56743,0.33453,0.60544,0.52854,0.57068,0.29718,1.51701,1.24681,1.75246,0.00831,0,0.00136169,0.00136169,0.00136169
76,2437.4,1.51365,1.34789,1.66676,0.006,1.41863,0.57445,0.55487,0.56316,0.33702,0.58099,0.56733,0.56898,0.27037,1.44476,1.2463,1.73004,0.00805,0,0.00135756,0.00135756,0.00135756
77,2468.68,1.53066,1.40109,1.68998,0.00596,1.34924,0.57269,0.45878,0.50705,0.31669,0.57331,0.46298,0.5057,0.2335,1.48671,1.33658,1.98398,0.00816,0,0.00135344,0.00135344,0.00135344
78,2500.18,1.47449,1.34995,1.65801,0.00576,1.36667,0.51868,0.44589,0.45164,0.26269,0.51522,0.44655,0.44601,0.20848,1.48088,1.31071,2.79368,0.00806,0,0.00134931,0.00134931,0.00134931
79,2531.41,1.50916,1.35533,1.64646,0.00583,1.39635,0.59859,0.57088,0.54485,0.32297,0.6033,0.57444,0.55772,0.2779,1.45441,1.188,1.84378,0.00809,0,0.00134519,0.00134519,0.00134519
80,2562.79,1.51338,1.33434,1.61719,0.00581,1.41206,0.60712,0.50541,0.56833,0.34154,0.59868,0.49594,0.56063,0.28003,1.43127,1.2165,1.62583,0.008,0,0.00134106,0.00134106,0.00134106
81,2594.17,1.48162,1.32668,1.55623,0.0057,1.30866,0.54021,0.5601,0.55989,0.32517,0.55701,0.56235,0.58262,0.27003,1.46326,1.23834,1.6437,0.00821,0,0.00133693,0.00133693,0.00133693
