epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,3497.2,1.48048,1.32022,1.55548,0.00581,1.29429,0.55838,0.62193,0.59488,0.34541,0.59904,0.58003,0.59571,0.298,1.47081,1.23012,1.61972,0.00806,0,0.00127917,0.00127917,0.00127917
96,3532.9,1.48901,1.41235,1.60972,0.00574,1.34536,0.66025,0.56371,0.6037,0.35103,0.65121,0.5742,0.61197,0.30081,1.41765,1.22096,1.63231,0.00809,0,0.00127505,0.00127505,0.00127505
97,3568.57,1.48416,1.32168,1.58166,0.00579,1.32149,0.60858,0.53127,0.58211,0.3342,0.56606,0.49672,0.52853,0.24613,1.3834,1.25241,1.90382,0.00773,0,0.00127092,0.00127092,0.00127092
98,3604.32,1.50408,1.36891,1.57725,0.00602,1.36216,0.52832,0.56994,0.53821,0.31448,0.53938,0.56235,0.55354,0.2466,nan,nan,nan,nan,0,0.00126679,0.00126679,0.00126679
99,3639.8,1.46693,1.31879,1.53715,0.0058,1.31127,0.53661,0.55963,0.55537,0.32409,0.52717,0.56933,0.56047,0.23436,nan,nan,nan,nan,0,0.00126267,0.00126267,0.00126267
100,3675.52,1.46289,1.33638,1.58509,0.00562,1.30932,0.54594,0.60803,0.57876,0.34176,0.55043,0.5894,0.58684,0.28126,nan,nan,nan,nan,0,0.00125854,0.00125854,0.00125854
101,3711.03,1.4636,1.32334,1.5244,0.00586,1.28064,0.55455,0.58062,0.57873,0.33686,0.57664,0.6028,0.59623,0.27842,1.434,1.18887,1.5864,0.00817,0,0.00125442,0.00125442,0.00125442
102,3746.63,1.47176,1.33319,1.59398,0.00569,1.2682,0.58298,0.55157,0.57416,0.33769,0.61868,0.55692,0.57496,0.26175,1.45735,1.21928,1.66075,0.00819,0,0.00125029,0.00125029,0.00125029
103,3782.23,1.49647,1.28957,1.51453,0.00569,1.25128,0.58219,0.59035,0.58326,0.33127,0.60414,0.57481,0.57561,0.27928,1.37668,1.21217,1.67317,0.00773,0,0.00124617,0.00124617,0.00124617
104,3817.79,1.48114,1.29528,1.52762,0.00566,1.27976,0.53299,0.63696,0.58568,0.34333,0.55474,0.64645,0.59149,0.26783,nan,nan,nan,nan,0,0.00124204,0.00124204,0.00124204
105,3853.47,1.46017,1.31907,1.56279,0.00563,1.27938,0.54277,0.55073,0.5678,0.33939,0.55845,0.56775,0.57603,0.26394,1.42752,1.29687,1.62903,0.00818,0,0.00123791,0.00123791,0.00123791
106,3889.34,1.47882,1.3861,1.58236,0.00587,1.32712,0.55617,0.61026,0.58801,0.34532,0.54921,0.5978,0.56597,0.26872,1.43467,1.31128,1.62396,0.00807,0,0.00123379,0.00123379,0.00123379
107,3925.1,1.49194,1.36319,1.57734,0.0056,1.33586,0.54105,0.53886,0.52576,0.30515,0.54855,0.57706,0.53775,0.23333,1.45882,1.3095,1.73532,0.00819,0,0.00122966,0.00122966,0.00122966
108,3960.73,1.45047,1.33717,1.57702,0.00569,1.34464,0.54559,0.65597,0.58821,0.35111,0.55372,0.6505,0.59203,0.27343,nan,nan,nan,nan,0,0.00122554,0.00122554,0.00122554
109,3996.54,1.4708,1.27651,1.53278,0.00561,1.29341,0.55152,0.58621,0.54555,0.31243,0.57513,0.5812,0.56701,0.25088,1.42961,1.21442,1.85692,0.00802,0,0.00122141,0.00122141,0.00122141
110,4032.16,1.46529,1.32322,1.57588,0.0056,1.25249,0.58734,0.64634,0.61019,0.36012,0.59256,0.65346,0.60391,0.29498,1.41915,1.1854,1.66205,0.00802,0,0.00121729,0.00121729,0.00121729
111,4067.77,1.42656,1.26385,1.50923,0.00582,1.30393,0.55842,0.63389,0.60891,0.38388,0.55257,0.6375,0.5938,0.28325,1.35542,1.23584,1.54407,0.00743,0,0.00121316,0.00121316,0.00121316
112,4103.33,1.42023,1.28084,1.53765,0.00551,1.30192,0.53609,0.61882,0.587,0.35859,0.52403,0.61217,0.5752,0.25206,1.43284,1.26006,1.5576,0.00798,0,0.00120903,0.00120903,0.00120903
113,4138.92,1.443,1.28035,1.53283,0.00557,1.30971,0.60283,0.58087,0.60279,0.3636,0.60056,0.57553,0.60058,0.2899,1.40131,1.27371,1.70919,0.00786,0,0.00120491,0.00120491,0.00120491
114,4174.58,1.4289,1.27791,1.48431,0.00571,1.25214,0.57258,0.51792,0.51996,0.30881,0.56686,0.50893,0.51532,0.23586,1.37509,1.20956,2.01822,0.00784,0,0.00120078,0.00120078,0.00120078
115,4210.33,1.45601,1.30322,1.53078,0.00578,1.25905,0.67669,0.5747,0.61955,0.36565,0.67374,0.5658,0.59642,0.28116,1.4514,1.26884,1.73772,0.00824,0,0.00119666,0.00119666,0.00119666
116,4245.99,1.44994,1.2707,1.53985,0.00561,1.30902,0.68386,0.48725,0.61096,0.36693,0.66526,0.50056,0.59585,0.28778,1.36193,1.22055,1.62326,0.00781,0,0.00119253,0.00119253,0.00119253
117,4281.53,1.46128,1.32982,1.52398,0.00557,1.34836,0.68116,0.52901,0.59802,0.36653,0.56306,0.65477,0.61042,0.28365,1.38874,1.18209,1.60474,0.00773,0,0.0011884,0.0011884,0.0011884
118,4317.27,1.45443,1.33581,1.56096,0.00561,1.30706,0.60824,0.59008,0.62507,0.37479,0.61652,0.60076,0.63173,0.30328,1.34481,1.15278,1.69577,0.00734,0,0.00118428,0.00118428,0.00118428
119,4352.88,1.45201,1.32956,1.47657,0.00567,1.2662,0.60474,0.64618,0.64624,0.39464,0.62403,0.628,0.6417,0.2853,1.40351,1.23766,1.56256,0.00781,0,0.00118015,0.00118015,0.00118015
120,4388.43,1.45458,1.33628,1.51801,0.00575,1.32871,0.63109,0.59187,0.59369,0.35228,0.63941,0.60175,0.59448,0.28604,1.37531,1.17285,1.63043,0.00766,0,0.00117603,0.00117603,0.00117603
